date,sector,avg_change_pct,avg_eic_score,stocks_count,top_performer,best_eic,last_updated
2025-09-15,Securities,1.66,6.0,4,VND,SSI,2025-09-15T08:52:41.529181
2025-09-15,Banks,1.48,6.2,5,BID,BID,2025-09-15T08:52:41.529198
2025-09-15,Real_Estate,-0.24,5.8,4,DXG,DXG,2025-09-15T08:52:41.529210
2025-09-15,Steel,1.36,6.1,4,TLH,TLH,2025-09-15T08:52:41.529221
