date,sector,avg_change_pct,avg_eic_score,stocks_count,top_performer,best_eic,last_updated
2025-09-15,Securities,1.66,6.0,4,VND,SSI,2025-09-15T08:54:15.902830
2025-09-15,Banks,1.48,6.2,5,BID,BID,2025-09-15T08:54:15.902846
2025-09-15,Real_Estate,-0.53,5.7,3,VIC,VHM,2025-09-15T08:54:15.902857
2025-09-15,Steel,1.42,6.1,3,TLH,TLH,2025-09-15T08:54:15.902868
